text,label,notes,llm_label,pre_labeled,llm_confidence,id,favorite_count,retweet_count
The starting 5 are showing off their skills!! @cavs have dominated the first quarter. @espn #NBAFinals,Hype & Support,,Hype & Support,True,0.9,1004535815094132736,0,0
Steph Curry in the post like... #Cavs #nba #NBAFinals,Game/Tactical Analysis,,Game/Tactical Analysis,True,0.8,1004540418711621632,0,0
What's Kevin Durant's nickname again? Soft Baby Bad-actor #NBAFinals,Criticism & Trash Talk,,Criticism & Trash Talk,True,0.95,1004542138770706434,0,0
Only reason I'm watching the #NBAFinals cause I want to see #JRSmith #dunk on someone #head,Hype & Support,,Hype & Support,True,0.85,1004539224186609664,0,0
HOW YOU JUST GON LET @KingJames OOP ON YOU LIKE THAT?!?!! GOOD GOD!!! #NBAFinals,Hype & Support,,Hype & Support,True,0.9,1004532693701398528,0,0
Isn't it amazing how much better a team can look at home compared to on the road? #NBAFinals,Game/Tactical Analysis,,Game/Tactical Analysis,True,0.85,1004532953475674112,0,0
Draymond should be thrown out with that yelling! #NBAFinals,Criticism & Trash Talk,,Criticism & Trash Talk,True,0.8,1004535197289730048,0,0
In case you're wondering what's happening on @LeBatardShow #NBAFinals,Hype & Support,,Hype & Support,True,0.6,1004536906955345920,0,0
Can I shamelessly plug by kid's book Shootin' Hoops With Dad durning the #NBAFinals? I mean Lebron James and Steph.,Hype & Support,,Hype & Support,True,0.7,1004541887297007619,0,0
@christuckerreal New scene from Last Friday movie! @icecube #NBAFinals,Hype & Support,,Hype & Support,True,0.65,1004542448385720320,0,0
That's a travel in FIBA #NBAfinals live,Officiating Complaint,,Officiating Complaint,True,0.9,1004532649321517056,0,0
Thank you @KingJames for being who you are. #NBAFinals,Hype & Support,,Hype & Support,True,0.95,1004533804567056390,0,0
What's up klay ????????? #DubNation? ? #Warriors #GSW #NBAFinals? ?,Hype & Support,,Hype & Support,True,0.98,1004536768924934145,0,0
Oh boy... this is gonna be a good game #NBAonABC #NBAFinals,Hype & Support,,Hype & Support,True,0.8,1004540339300864000,0,0
Game got tied up real quick. #NBAFinals,Hype & Support,,Hype & Support,True,0.7,1004537756616417281,0,0
The @NBA defintely doesn't want kids watching basketball. #NBAFinals,Criticism & Trash Talk,,Criticism & Trash Talk,True,0.85,1004535924586434561,0,0
Cavs 29 Warriors 28. We survived their adrenaline wave and took their best shot. Let's win this #DubNation #NBAFinals,Game/Tactical Analysis,,Game/Tactical Analysis,True,0.9,1004538617115627520,0,0
"I'm officially just rooting for Draymond to pick up two more T's in this series, get suspended and subsequently cos.",Criticism & Trash Talk,,Criticism & Trash Talk,True,0.8,1004537307024642054,0,0
No one can stop Lebron James when he is full speed heading towards the basket! #Fact #NBAFinals,Hype & Support,,Hype & Support,True,0.9,1004540290554912769,0,0
Oh My Goodness!!! How is this man 33 years old and still the most athletic guy in the league?! #NBAFinals,Hype & Support,,Hype & Support,True,0.95,1004532265655898113,0,0
Hate him or love him #WhateverItTakes,Hype & Support,,Hype & Support,True,0.8,1004533882639867905,0,0
I fucking hate ty Lue dog lmfaoo,Criticism & Trash Talk,,Criticism & Trash Talk,True,0.9,1004538815149760512,0,0
So that wasn't a moving screen but LeBron's was? #NBAFinals,Officiating Complaint,,Officiating Complaint,True,0.95,1004538532436873216,0,0
Still don't understand this correlation between home court and refereeing. #NBAFinals,Game/Tactical Analysis,,Game/Tactical Analysis,True,0.7,1004535435710754816,0,0
@JelanieDionnice fast forward to ten seconds left!,Hype & Support,,Hype & Support,True,0.6,1004540588413345792,0,0
Let me post about it before they say it if we don't win they going come with something like the nba is going to los.,Criticism & Trash Talk,,Criticism & Trash Talk,True,0.8,1004536331131916289,0,0
G A M E 3 .. GO WARRIORS !!! #nbaonabscbn #NBAONABSCBN #NBAFinals #NBAONABSCBNLIVE,Hype & Support,,Hype & Support,True,0.99,1004532496015360000,0,0
"Love how Draymond got a tech and Breen's like ""He has to be careful (because he's still screaming.)"" JVG immediatel.",Game/Tactical Analysis,,Game/Tactical Analysis,True,0.85,1004535850477244416,0,0
I love the effort of Kyle Korver. #whateverittakes #CLE #NBAFinals,Hype & Support,,Hype & Support,True,0.95,1004540731296448512,0,0
Are you kiddin' me??? #NBAFinals @KingJames,Officiating Complaint,,Officiating Complaint,True,0.9,1004533858543554562,0,0
Just like that!! The Cav's fans aren't talking about the refs lol #NBAFinals #NBAonABC,Hype & Support,,Hype & Support,True,0.8,1004536550728728577,0,0
That first quarter ended much better than it started. #DubNation #NBAFinals,Game/Tactical Analysis,,Game/Tactical Analysis,True,0.7,1004538718231973888,0,0
"To the guy that yelled ""Fuck Yeah"" at the camera, I feel you bro. #NBAFinals",Hype & Support,,Hype & Support,True,0.9,1004533351963906049,0,0
"Amazing play, you can't hate on his ability",Hype & Support,,Hype & Support,True,0.85,1004533956312739843,0,0
#LeBron what he did Just a minute ago he kidding #NBAFinals #Game3 #ClevelandCavaliers #GSWvsCLE,Criticism & Trash Talk,,Criticism & Trash Talk,True,0.6,1004533658726879233,0,0
Golden State caught up like #NBAFinals,Game/Tactical Analysis,,Game/Tactical Analysis,True,0.65,1004538862616678400,0,0
LaBron James just rolled his ankle. #NBAFinals,Game/Tactical Analysis,,Game/Tactical Analysis,True,0.95,1004542113432985600,0,0
I couldnt be the only one not impressed wit that LeBron James backboard oop #NBAFinals,Criticism & Trash Talk,,Criticism & Trash Talk,True,0.8,1004541086881271808,0,0
"Draymond Green why you so mad, man? He picks up his first personal four. More ""Draymond Sucks"" chants at the Q #NBAFinals",Criticism & Trash Talk,,Criticism & Trash Talk,True,0.9,1004535089991241728,0,0
"Ugliest MUTHAFUCKING shit EVER,F THE GAYRRIORS",Criticism & Trash Talk,,Criticism & Trash Talk,True,0.99,1004534750063857664,0,0
WHO ARE THESE GUYS?! #NBAFinals #WhateverItTakes,Hype & Support,,Hype & Support,True,0.9,1004532625594306560,0,0
This donkey can do anything and not get thrown out smh fix it #NBAFinals,Criticism & Trash Talk,,Criticism & Trash Talk,True,0.8,1004536044392534017,0,0
Might be my favorite part of the game. Honestly!,Hype & Support,,Hype & Support,True,0.7,1004532546611417088,0,0
Kevin Love Iz bullyin 2nite n I love It #NBAFinals,Hype & Support,,Hype & Support,True,0.9,1004534943362449408,0,0
Draymond need to chill... #NBAfinals,Criticism & Trash Talk,,Criticism & Trash Talk,True,0.8,1004535178314813445,0,0
I can feel the intensity of this game thru the TV!!!!!!!! #NBAFinals,Hype & Support,,Hype & Support,True,0.9,1004536295136391169,0,0
#NBAFinals #RefWatchParty When LeBron clearly goes into the defender at full speed with his shoulder &amp; shoves him o.,Officiating Complaint,,Officiating Complaint,True,0.8,1004541129050804229,0,0
The refs doing everything they can so Lebron and the Cheatland Cavaliers don't to get swept #NBAFinals,Officiating Complaint,,Officiating Complaint,True,0.9,1004535742511665152,0,0
"Lebron banking it easily off the square 35-28, CLE. #NBAFinals",Game/Tactical Analysis,,Game/Tactical Analysis,True,0.6,1004540707401543686,0,0
Cavs up 7 with 9:20 to go in the 2nd.. Lebron with 10-6-5 do far #NBAFinals #WhateverItTakes,Game/Tactical Analysis,,Game/Tactical Analysis,True,0.7,1004541077276315648,0,0
No matter what that's always ty lue face,Hype & Support,,Hype & Support,True,0.6,1004538984763142144,0,0
"Green better cool it, cus he might be hitting the showers early. So much for that max contract for the refs. #NBAFinals",Criticism & Trash Talk,,Criticism & Trash Talk,True,0.8,1004535688690364417,0,0
"Lmfaooo but after the Loss, He has no help",Criticism & Trash Talk,,Criticism & Trash Talk,True,0.7,1004539803285770241,0,0
That call on Curry just made me remember that the NBA refs are live tweeting. #NBAFinals,Officiating Complaint,,Officiating Complaint,True,0.9,1004534798692601857,0,0
Game 1 of #NBAFinals was supposed to be the #LeBron game but became the #JRSmith game. Game 2 was the #StephCurry g.,Game/Tactical Analysis,,Game/Tactical Analysis,True,0.8,1004539161271910401,0,0
@KingJames needs to flip that switch. It is go time. #bronbron #NBAFinals,Hype & Support,,Hype & Support,True,0.9,1004540900301770753,0,0
That was pure filth Lebron #NBAFinals? ? #WhateverItTakes,Hype & Support,,Hype & Support,True,0.95,1004532858613100545,0,0
A few All-Star fans supporting the #Cavs in Game #3 of #NBAFinals #RallyTogether #WhatEverItTakes,Hype & Support,,Hype & Support,True,0.85,1004541388598448128,0,0
"I want to see Kyle Korver score 20+ one of these games, he easily has the capability to. #NBAFinals",Hype & Support,,Hype & Support,True,0.8,1004537330642837504,0,0
"29-28 #AllForOne after one. Great CLE start with LeBron getting help from Smith and Love, then Durant happens (13 p.",Game/Tactical Analysis,,Game/Tactical Analysis,True,0.9,1004539480261431297,0,0
"LeBron James, everybody. #NBAFinals",Hype & Support,,Hype & Support,True,0.8,1004534293442584583,0,0
Playing human bumper carts #NBAFinals,Criticism & Trash Talk,,Criticism & Trash Talk,True,0.7,1004540525674946562,0,0
Ty Lue's face regardless of what happens in the game,Criticism & Trash Talk,,Criticism & Trash Talk,True,0.6,1004539079143276544,0,0
"Go go go CAVS ,make it 4-2 .hi sa family Encinas. #NBAFinals #NBAsaABSCBN #NBAONABSCBN live",Hype & Support,,Hype & Support,True,0.9,1004537194676039680,0,0
Get all the brooms out of the arena we using mops from now on #NBAFinals #WhateverItTakes #NBAonABC #3Cavs,Hype & Support,,Hype & Support,True,0.8,1004539519088168961,0,0
I dont like basketball at all but you see this shot dawwwwwwwwwwwwwwwwg my goodness I replayed it about 20 times,Hype & Support,,Hype & Support,True,0.7,1004541583998488576,0,0
LeBron is determined to get JR going... he forcefully pursued an assist to Smith for the elbow 3 #NBAFinals,Game/Tactical Analysis,,Game/Tactical Analysis,True,0.9,1004542444300656641,0,0
All Cavs starters have scored. #NBAFinals,Game/Tactical Analysis,,Game/Tactical Analysis,True,0.8,1004535563595247623,0,0
Someone needs to beat GS's ass.. I mean punch Draymond.. Whatever. Same thing. #NBAFinals,Criticism & Trash Talk,,Criticism & Trash Talk,True,0.9,1004541989667442688,0,0
The latest The All Rise Daily! #nbafinals #metoo,Hype & Support,,Hype & Support,True,0.4,1004541488834011136,0,0
LeBron isn't messing around. #NBAFinals,Hype & Support,,Hype & Support,True,0.8,1004533203070316545,0,0
I feel@bad for people who don't realize the #nba is rigged. It may as as well be called WWE #NBAFinals,Officiating Complaint,,Officiating Complaint,True,0.9,1004541607121686528,0,0
Lebron with the Dominique! #NBAFinals,Hype & Support,,Hype & Support,True,0.9,1004532290846781440,0,0
Oh shit LeBron is injured again.. Annnnd he's fine #NBAFinals,Hype & Support,,Hype & Support,True,0.7,1004542710441762817,0,0
Off Curry's head. Cavs ball. Love it. #NBAFinals,Hype & Support,,Hype & Support,True,0.8,1004533309475622912,0,0
Let's go Warriors! #StrengthInNumbers #NBAFinals #DubNation,Hype & Support,,Hype & Support,True,0.9,1004531997908205569,0,0
LeBron James like I don't trust you guys to do anything #NBAFinals,Criticism & Trash Talk,,Criticism & Trash Talk,True,0.8,1004532660679557120,0,0
I love retweeting myself. Game playing out as expected ??,Game/Tactical Analysis,,Game/Tactical Analysis,True,0.6,1004538439381815299,0,0
"To quote @Money23Green ""That's fucking bullshit."" #NBAFinals",Criticism & Trash Talk,,Criticism & Trash Talk,True,0.8,1004535202318770176,0,0
I was never a fan of that type of shooting foul when an offensive player can lean into a defender while in the air. #NBAFinals,Game/Tactical Analysis,,Game/Tactical Analysis,True,0.8,1004538850461536257,0,0
I'll never get tired of self alley-oop LeBron James. #NBAFinals,Hype & Support,,Hype & Support,True,0.9,1004532180188614657,0,0
This is #Lebron any time he gets a little help from the other #Cavs. #NBAFinals,Hype & Support,,Hype & Support,True,0.8,1004537622541238272,0,0
Where the hell did Uzi Vert come from? How'd he get so big? #NBAFinals,Hype & Support,,Hype & Support,True,0.4,1004539623954141184,0,0
KD out here tryna be the designated road assassin!! #NBAFinals,Hype & Support,,Hype & Support,True,0.8,1004538529404182528,0,0
J.R. SMITH! He now has 10 PTS. #WhateverItTakes #NBAFinals,Hype & Support,,Hype & Support,True,0.9,1004542523057016833,0,0
Once again Draymond throws a temper tantrum that no other player could get away with #NBAFinals,Criticism & Trash Talk,,Criticism & Trash Talk,True,0.8,1004535416735911937,0,0
"I KNOW Steph Curry is relieved to have Durant on the team. He can literally come out the game, chill on the bench,.",Game/Tactical Analysis,,Game/Tactical Analysis,True,0.7,1004538961455468546,0,0
Never leave me LeBron #NBAFinals,Hype & Support,,Hype & Support,True,0.9,1004532745341685760,0,0
Does Livingston ever miss from mid range? #NBAFinals,Game/Tactical Analysis,,Game/Tactical Analysis,True,0.6,1004537810240536576,0,0
Wow he just did that #NBAFinals,Hype & Support,,Hype & Support,True,0.8,1004532173507055616,0,0
I haven't had this much fun watching the Cavs since game 6 2016 finals.,Hype & Support,,Hype & Support,True,0.8,1004534578227437568,0,0
...I can't believe that hotel doesn't have a microwave or refrigerator! Most have at least a small one!.,Officiating Complaint,,Officiating Complaint,True,0.2,1004540098824822785,0,0
How long until Draymond Green gets tossed? #NBAFinals,Criticism & Trash Talk,,Criticism & Trash Talk,True,0.7,1004535796408307715,0,0
"Aggressive, 30 point, 20 rebound Kevin Love came to play tonight, I see. #NBAFinals",Hype & Support,,Hype & Support,True,0.9,1004532873964253184,0,0
Man. Double technicals. Tristan focus. #WhateverItTakes #NBAFinals,Hype & Support,,Hype & Support,True,0.6,1004534951151357959,0,0
LEBROOOOOON!!!! THAT'S PURE CLASS #NBAFinals,Hype & Support,,Hype & Support,True,0.95,1004532431389642753,0,0
The game is to be sold not to be told #NBAFinals yea they'll let @ #Lebron one man team win tonight,Criticism & Trash Talk,,Criticism & Trash Talk,True,0.8,1004533551960875009,0,0
Feels like Cavs should be up big and it's a 1 point game #NBAFinals,Game/Tactical Analysis,,Game/Tactical Analysis,True,0.85,1004539115952410624,0,0
WIN OR LOSE team CAVS padin ako GO CAVS DEFEND THE LAND ! HELLO MAHAL EARNEST FRENGIE PORLAS at kay papa OSCAR LE.,Hype & Support,,Hype & Support,True,0.9,1004532431477604352,0,0
Warriors withstood initial punch but LeBron was fairly calm in that 1st Q (other than the dunk). Wide open game. Love it. #NBAFinals,Game/Tactical Analysis,,Game/Tactical Analysis,True,0.9,1004538983383257088,0,0
Who else is putting their up while watching #NBAFinals Game 3 tonight?,Hype & Support,,Hype & Support,True,0.8,1004533653668618241,0,0
Game tied!! By kevin durant!! #DUBNATION #NBAFinals,Hype & Support,,Hype & Support,True,0.9,1004537717412147200,0,0
Could be the best I've seen Love play since he became a Cav. Looking Minnesota. #NBAFinals #NBAonABC,Hype & Support,,Hype & Support,True,0.7,1004535510826508289,0,0
Warriors vs. LeBron. #NBAFinals,Hype & Support,,Hype & Support,True,0.6,1004534762919243776,0,0
My homie keep calling Javale Mcgee.... J Cole Lol #NBAFinals,Hype & Support,,Hype & Support,True,0.8,1004538788536872960,0,0
Good god what a move to beat the shot clock by Lebron. Oop to himself.,Hype & Support,,Hype & Support,True,0.9,1004532922471321601,0,0
LeBron just did that #NBAFinals Game 3,Hype & Support,,Hype & Support,True,0.9,1004532361306857474,0,0
This game is phys-i-cal! I'm predicting a fight before the end! #NbaFinals #GSWvsCLE - watching NBA Finals,Game/Tactical Analysis,,Game/Tactical Analysis,True,0.7,1004542708692774914,0,0
That's some serious bs calling #NBAFinals,Officiating Complaint,,Officiating Complaint,True,0.9,1004534300379885568,0,0
@barstoolhrtland @barstoolsports @stoolpresidente I spend four minutes basically talking about nothing. #JRSmith.,UNSURE,,UNSURE,True,,1004537052933734400,0,0
#NBAFinals Draymond green is just ridiculous. He clearly fouls and acts like he didn't even touch the guy. He needs.,Criticism & Trash Talk,,Criticism & Trash Talk,True,0.9,1004535993796526081,0,0
The Cavs playing like they all had 2 Red Bulls right before the game!!! #NBAFinals,Hype & Support,,Hype & Support,True,0.8,1004536172453007360,0,0
Cavs starting out hot! lets see if they can keep it up #nbafinals #nba #Warriors #Cavs,Hype & Support,,Hype & Support,True,0.85,1004534156662059009,0,0
BleacherReport: Shook. #NBAFinals ??,Hype & Support,,Hype & Support,True,0.7,1004539974371295234,0,0
warriors! warriors! warriors! #NBAFinals,Hype & Support,,Hype & Support,True,0.95,1004540704163590145,0,0
@abscbnsports Thanks sa live coverage NBA Final Game3 Manalo matalo CAVS parin Watching from Alangila Bacolod Cit.,Hype & Support,,Hype & Support,True,0.8,1004539580542959616,0,0
@TheRealJRSmith is on #nbafinals,Hype & Support,,Hype & Support,True,0.6,1004542158332973061,0,0
That is probably the coolest slickest Lebron has ever done. Wow. #NBAFinals,Hype & Support,,Hype & Support,True,0.9,1004532565846511616,0,0
"I was a collegiate sports information director. LeBron's highlight reel play should be scored D (dunk), 23( LeBron).",Game/Tactical Analysis,,Game/Tactical Analysis,True,0.8,1004538118823923718,0,0
"LeBron, hold on now. #WhateverItTakes #NBAFinals",Hype & Support,,Hype & Support,True,0.7,1004532278016475137,0,0
I'm a bandwagonist tonight so whoever wins is my team but... #LeBron looking nice in that uniform #NBAFinals,Hype & Support,,Hype & Support,True,0.8,1004537495667855362,0,0
"Eventually, Draymond Green has to learn Tristan Kardashian is trying to get him to 7 techs &amp; a suspension..",Game/Tactical Analysis,,Game/Tactical Analysis,True,0.9,1004538774951374848,0,0
Lebron has discovered that the backboard can provide better dimes than his teammates. #NBAFinals,Criticism & Trash Talk,,Criticism & Trash Talk,True,0.7,1004532667977613312,0,0
I love Draymond's character man. Good for the game. #NBAFinals,Hype & Support,,Hype & Support,True,0.9,1004536761001893895,0,0
Oh damn they got Bron out here throwin it off the backboard for dunks oh lord GSW might be in trouble tonight cuz B.,Hype & Support,,Hype & Support,True,0.8,1004533319675990016,0,0
Lebrons eye looks like he spent a lot of time playing #Fortnite last night. #NBAFinals (Disclaimer: I know someon.,Criticism & Trash Talk,,Criticism & Trash Talk,True,0.6,1004538755150172160,0,0
Love the energy from the cavs. Let's keep this up #whateveritakes #NBAFinals,Hype & Support,,Hype & Support,True,0.9,1004536196435857408,0,0
"Draymond Green is kind of like Trump, he can murder someone in the middle of the court and get away with it..",Criticism & Trash Talk,,Criticism & Trash Talk,True,0.8,1004539159086862336,0,0
@warriors @cavs @mbsportsonline #NBAFinals: Love powers his way on Durant. 18-8 @cavs | via @mbsportsonline,Game/Tactical Analysis,,Game/Tactical Analysis,True,0.7,1004534848407552001,0,0
See what happens when the refs call it equally? #DubNation #NBAFinals,Officiating Complaint,,Officiating Complaint,True,0.6,1004537869040578560,0,0
Wow! I don't agree with that #NBAFinals,Officiating Complaint,,Officiating Complaint,True,0.8,1004540915514511360,0,0
@KingJames is out there alone for the @cavs No one is cutting to the basket or doing anything. #NBAFinals,Game/Tactical Analysis,,Game/Tactical Analysis,True,0.9,1004542118633922560,0,0
@DIRECTVNowHelp A bit unacceptable when your service goes down during a pivotal game and blames my internet connection. #NBAFinals,Criticism & Trash Talk,,Criticism & Trash Talk,True,0.7,1004533850385481728,0,0
"A KD 3-pointer and a jumper help tie the game at 26-all (32.6 seconds, Q1). #NBAFinals LIVE BLOG:",Hype & Support,,Hype & Support,True,0.6,1004537994005450753,0,0
Draymond needs to chill out. #NBAFinals,Criticism & Trash Talk,,Criticism & Trash Talk,True,0.8,1004536581980499973,0,0
Watching the NBA finals #NBAFinals #GSW,Hype & Support,,Hype & Support,True,0.9,1004533958615420929,0,0
The greatness of this man is so fun to watch. Anyone who doesn't think so is a complete fucking moron. #NBAFinals #CavsWarriors,Hype & Support,,Hype & Support,True,0.7,1004542769749098496,0,0
The warriors are going to be leading after this first quarter. #NBAFinals,Game/Tactical Analysis,,Game/Tactical Analysis,True,0.8,1004537516005847041,0,0
Lebrons shoes are dope as hell #NBAFinals,Hype & Support,,Hype & Support,True,0.9,1004541192607096832,0,0
Rodney Hood literally looks like an African Sculpture. Blackness is so dope ??? #CavsVsWarriors #NBAFinals,Hype & Support,,Hype & Support,True,0.8,1004537034369880064,0,0
"Yes please, @ABCNetwork , show me 5 more different angles of Bron rolling his ankle. #NBAFinals #weakankles #onereplayisenough",Criticism & Trash Talk,,Criticism & Trash Talk,True,0.8,1004542541239332864,0,0
GO WARRIORS!! #StrengthInNumbers #NBAFinals,Hype & Support,,Hype & Support,True,1.0,1004532293787160577,0,0
Good Morning! #NBAFinals #NBAonABSCBN. Thanks for the live coverage. #Dubnation,Hype & Support,,Hype & Support,True,0.9,1004542246123814912,0,0
CLE making basketball fun again #NBAFinals,Hype & Support,,Hype & Support,True,0.9,1004533142437314560,0,0
Watching the #NBAFinals ! So much fun and stress free when you don't have a horse in the race,Hype & Support,,Hype & Support,True,0.7,1004535527138209792,0,0
To be fair ty lue always looks like that,Criticism & Trash Talk,,Criticism & Trash Talk,True,0.6,1004540483878772736,0,0
Green pussy for that #GetTheStrap #NBAFinals #CavsGSW,Criticism & Trash Talk,,Criticism & Trash Talk,True,0.9,1004538194585669632,0,0
"Cavs trapping Curry early, sparking some of the strategy that worked in the 2015 Finals. Also helping that Cavs are.",Game/Tactical Analysis,,Game/Tactical Analysis,True,0.95,1004535738929680384,0,0
The @OfficialNBARefs better not fuck up my free taco @tacobell #NBAFinals,Officiating Complaint,,Officiating Complaint,True,0.8,1004536613660028928,0,0
"#Cavs with 12 FGAs in 4 min, #Warriors have 4. #NBAFinals",Game/Tactical Analysis,,Game/Tactical Analysis,True,0.9,1004533023323369472,0,0
Draymond Green about to get ejected man #NBAFinals,Criticism & Trash Talk,,Criticism & Trash Talk,True,0.8,1004536399243210752,0,0
Relax its jus 1st quarter lol #NBAFinals #DubNation,Hype & Support,,Hype & Support,True,0.9,1004533282325790722,0,0
Please don't blow this lead @cavs #NBAFinals,Criticism & Trash Talk,,Criticism & Trash Talk,True,0.7,1004533585213153280,0,0
Don't mind if I do... DAYUMMM. #kingjames #alleyoop #thereisonlyone #NBAFinals,Hype & Support,,Hype & Support,True,0.95,1004533554733125634,0,0
"1,718 rebounds is just a ridiculous number.",Hype & Support,,Hype & Support,True,0.6,1004539267937382401,0,0
2nite would've been GM 3 in #Boston #NBAFinals #Celtics #Cusrise,Hype & Support,,Hype & Support,True,0.8,1004532340599787520,0,0
When Curry misses his dumb shot selection shows #NBAFinals,Criticism & Trash Talk,,Criticism & Trash Talk,True,0.9,1004540338227351552,0,0
Lol Love looked like he didn't want to pass it to JR #NBAFinals,Criticism & Trash Talk,,Criticism & Trash Talk,True,0.85,1004532592027340800,0,0
End of 1 Quarter Warriors 28 Cavaliers 29 #NBAFinals,Game/Tactical Analysis,,Game/Tactical Analysis,True,0.4,1004538496948887553,0,0
.@nba refs still live tweeting? How did Draymond not get a 2nd tech? #NBAFinals #WhaterverItTakes,Officiating Complaint,,Officiating Complaint,True,0.95,1004537297524674560,0,0
Off the backboard dunk ??? #NBAFinals,Hype & Support,,Hype & Support,True,0.9,1004532199612395522,0,0
"Everyone's been crying about the Warriors getting all these calls, LOOK AT CLEVELAND PLAYING RUGBY OUT HERE. #NBAFinals",Criticism & Trash Talk,,Criticism & Trash Talk,True,0.8,1004534750122598400,0,0
"Interesting, lots of ""sorry, we were a shitty company"" commercials tonight during #NBAFinals",Hype & Support,,Hype & Support,True,0.4,1004540833863958528,0,0
Curry just isn't in the same league as LeBron. It's like a grown man picking on a kid. #NBAFinals,Criticism & Trash Talk,,Criticism & Trash Talk,True,0.9,1004540222153977857,0,0
"McGee is so much better than Zaza at both ends, it's ridiculous. #DubNation #NBAFinals",Game/Tactical Analysis,,Game/Tactical Analysis,True,0.7,1004534306868514817,0,0
"Holy balls, Lebron just dunked on a self-pass off the backboard with one good eye. Government supersoldier conspiracy confirmed. #NBAFinals",Hype & Support,,Hype & Support,True,0.95,1004532533843939328,0,0
ICONIC ? #WhateverItTakes #NBAFinals,Hype & Support,,Hype & Support,True,0.99,1004533562387791873,0,0
That was a pretty solid play by @KingJames just now... #NBAFinals,Game/Tactical Analysis,,Game/Tactical Analysis,True,0.6,1004532435730817024,0,0
Yeah amazing shot #NBAFinals #WarriorsvsCavs,Hype & Support,,Hype & Support,True,0.85,1004535680368828416,0,0
